,Adsorption Energy O,Bulk ICOHP,Oxidation state bulk,Metal Symbol,Outer Electrons,Adsorbate O,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Oxidation state surface,Adsorption Energy OH,Adsorbate OH,Adsorption Energy O-OH,Adsorbate,Outer electrons surface,Outer electrons bulk,Is d0,Normalized ICOHP,Normalized ICOHP Pred,Ionization energy surface,Ionization energy bulk,Electronegativity,Group,Period,Atomic nos
46,4.654239590000003,-5.25853,4,Ga,9,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/09_GaO2/no_sym/ICOHPLIST.lobster,13.994472574330214,-1.6744251701098007,-5.65759070441451,3d,-4.991985,4.0,2.168456400000011,OH,2.4857831899999923,O-OH,9.0,9,0,-1.3146325,-1.4143976761036274,21.5025,21.5025,1.81,13,4,31
47,4.4545226199999775,-6.034879999999999,5,Ga,8,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/08_Ga2O5/no_sym/ICOHPLIST.lobster,13.35043837349467,-1.7073691895844023,-5.395306667462846,3d,-4.037748,4.0,1.8992933600000013,OH,2.555229259999976,O-OH,9.0,8,0,-1.2069759999999998,-1.0790613334925692,21.5025,22.54,1.81,13,4,31
48,4.407339119999989,-6.35476,4,Ge,10,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/10_GeO2/no_sym/ICOHPLIST.lobster,14.294074295291788,-3.543982126442998,-6.452445469000095,3d,-5.8658225,3.333,1.6025459399999988,OH,2.80479317999999,O-OH,10.667,10,0,-1.58869,-1.6131113672500237,18.19034053405341,22.625,2.01,14,4,32
49,4.505709780000004,-6.35476,4,Ge,10,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/10_GeO2/no_sym/ICOHPLIST.lobster,14.294074295291788,-3.543982126442998,-6.452445469000095,3d,-5.8658225,4.0,1.7843677000000042,OH,2.7213420799999994,O-OH,10.0,10,0,-1.58869,-1.6131113672500237,22.625,22.625,2.01,14,4,32
51,-2.06285151000003,-11.43394,3,Zr,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/01_Zr2O3/no_sym/ICOHPLIST.lobster,6.180518608674013,-5.778642731925262,-11.190841004213592,4d,0.0,2.833,-2.187311790000024,OH,0.1244602799999938,O-OH,1.1669999999999998,1,0,-3.811313333333333,-3.730280334737864,11.486016194846453,11.472786666666666,1.33,4,5,40
54,-1.3403664199999523,-11.66886,3,Nb,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/02_Nb2O3/no_sym/ICOHPLIST.lobster,7.859288808997262,-5.118101044255918,-11.239814942442226,4d,0.0,2.833,-1.2096175899999937,OH,-0.130748829999959,O-OH,2.167,2,0,-3.8896200000000003,-3.7466049808140753,12.53263783974585,12.536999999999999,1.6,5,5,41
55,-0.2471059700000069,-14.44955,4,Nb,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/01_NbO2/no_sym/ICOHPLIST.lobster,5.956227124393464,-4.58568520971128,-14.270590253644809,4d,0.0,3.333,-1.0331504800000175,OH,0.7860445100000106,O-OH,1.6669999999999998,1,0,-3.6123875,-3.567647563411202,12.579441764176417,12.6432,1.6,5,5,41
56,0.2305838700000038,-14.44955,4,Nb,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/01_NbO2/no_sym/ICOHPLIST.lobster,5.956227124393464,-4.58568520971128,-14.270590253644809,4d,0.0,4.0,-0.7488003199999866,OH,0.9793841899999904,O-OH,1.0,1,0,-3.6123875,-3.567647563411202,12.6432,12.6432,1.6,5,5,41
59,-0.428265720000013,-10.7999,3,Mo,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/03_Mo2O3/no_sym/ICOHPLIST.lobster,8.704683766713305,-4.874016339772792,-10.92159723055478,4d,0.0,2.833,-0.9144637300000228,OH,0.4861980100000096,O-OH,3.167,3,0,-3.5999666666666665,-3.640532410184927,13.457677373808682,13.443333333333333,2.16,6,5,42
60,-0.2763444900000138,-14.13476,4,Mo,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/02_MoO2/no_sym/ICOHPLIST.lobster,7.40144463084383,-4.241225049455491,-13.467448941628913,4d,0.0,3.333,-0.6729427900000076,OH,0.3965982999999937,O-OH,2.667,2,0,-3.53369,-3.366862235407228,13.514435943594359,13.62125,2.16,6,5,42
