,Adsorption Energy,Bulk ICOHP,Oxidation State,Metal Symbol,Outer Electrons,Adsorbate,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Surface Oxidation State
51,1.82796821,-10.47232,4,Ti,0,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/00_TiO2/no_sym/ICOHPLIST.lobster,0j,0,-10.16533197,3d,0,4
52,-1.264272755,-4.45651,2,Ti,2,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+2/01_TiO/no_sym/ICOHPLIST.lobster,(7.919597331848456+0j),0,-4.681901627,3d,0,1.93
53,1.60348749,-8.26644,3,Sc,0,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/00_Sc2O3/no_sym/ICOHPLIST.lobster,0j,0,-7.65293893,3d,0,2.833
54,-1.66989887,-6.03193,2,Sc,1,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+2/00_ScO/no_sym/ICOHPLIST.lobster,(6.153007789387265+0j),0,-5.667420853,3d,0,1.93
55,1.40022222,-0.09076,4,Sn,10,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/10_SnO2/no_sym/ICOHPLIST.lobster,(14.36627026368095+0j),0,-0.105557255,4d,-4.7568325,3.333
56,1.66063417,-0.09076,4,Sn,10,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/10_SnO2/no_sym/ICOHPLIST.lobster,(14.36627026368095+0j),0,-0.105557255,4d,-4.7568325,4
57,0.9694774,-1.21795,5,Sn,9,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/09_Sn2O5/no_sym/ICOHPLIST.lobster,(13.77339606218517+0j),0,-0.11994758,4d,-3.752534,4
58,1.76467702,-0.09899,3,In,10,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/10_In2O3/no_sym/ICOHPLIST.lobster,(14.64573750728753+0j),0,-0.181753177,4d,-4.707586667,2.833
59,2.12768775,-0.23859,4,In,9,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/09_InO2/no_sym/ICOHPLIST.lobster,(14.04133011618468+0j),0,-0.222495821,4d,-3.9672075,3.333
60,2.02765786,-0.23859,4,In,9,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/09_InO2/no_sym/ICOHPLIST.lobster,(14.04133011618468+0j),0,-0.222495821,4d,-3.9672075,4
61,1.62731029,-1.1711,5,In,8,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/08_In2O5/no_sym/ICOHPLIST.lobster,(13.395139502568227+0j),0,-0.185459305,4d,-3.097802,4
62,2.13298886,-0.67265,3,Cd,9,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/09_Cd2O3/no_sym/ICOHPLIST.lobster,(14.187795153613257+0j),0,-0.662318107,4d,0,2.833
